"""Did you mean..."" Suggestions","""もしかして..."" 検索"
"Accuracy for Suggestions","正確なサジェスト"
"After switching please reindex the<br /><em>Catalog Search Index</em>.","切り替え後、 <br /><em>カタログ検索インデックス</em> を更新して下さい。"
"Authentication Required","認証が必要"
"Auto Correct Search Terms","検索キーワードの自動補正"
"CATALOG","カタログ"
"Check Solr version","Solrのバージョンチェック"
"Configuration","設定"
"Configure and test your [Solr Server].","お使いの[Solr Server]を設定してテストしてください。"
"Configure via:","設定対象:"
"Connecting...","接続中..."
"Connection Test","接続テスト"
"Connection to Solr","Solrに接続"
"Correct Search Terms Typos","検索キーワードのミスタイプを修正する"
"Deleting test entry from Solr","Solrからテストデータを削除"
"Did you mean:","もしかして:"
"Display ""Did you mean...""","""もしかして...""を表示する"
"Enable Solarium Search in [General Settings] below, Save Config.","[全般設定]でSolarium検索を有効にし、設定を保存してください。"
"Enabled","有効"
"Error reindexing Solr: %s","Solrインデックス再構築エラー: %s"
"ERROR","エラー"
"FAILED","失敗"
"Flush Magento's Cache Storage","Magentoのキャッシュストレージをクリア"
"General Settings","全般設定"
"General Timeout (seconds)","タイムアウト設定(秒)"
"Hostname or IP","ホスト名またはIP"
"If searching with a small typo works, Solarium search is active.","簡単な検索条件のミスタイプに対してもSolarium検索を有効にする"
"Inserting test entry in Solr","Solrにテストデータを追加する"
"Java version","Javaバージョン"
"Literal Search","逐語検索"
"Make sure you install the ""schema.xml"" and ""solrconfig.xml"" provided by this extension, and restart Solr.","エクステンションが提供する、""solrconfig.xml""と""schema.xml""をインストールし、Solrを再起動してください。"
"Maximum Number of Results","最大検索結果"
"Nr of Autocomplete Suggestions","オートコンプリートサジェスト件数"
"Number between 0 and 1, default 0.5","0から1までの間の値で指定して下しあ。デフォルトは0.5です。"
"Password","パスワード"
"Path","パス"
"Percentage between 0 and 100, default 70","パーセンテージは0から100の間で指定してください。デフォルトは70です。"
"Ping Solr","SolrにPingを送信"
"Please check the [Solr server configuration].","[Solr サーバー設定]を見なおしてください。"
"Please check the server settings. Please verify the Solr server is running and accessible.","サーバー設定を見なおしてください。Solrサーバーが起動していてアクセスできるか確認してください。"
"Please follow these steps:","以下の手順に従ってください:"
"Port Number","ポート番号"
"Rebuild Catalog product fulltext search index - POWERED BY SOLARIUM","商品全文検索インデックスを再構築 - POWERED BY SOLARIUM"
"Reindex Data","データを再構築"
"Reindex the Catalog Search Index","カタログ検索インデックスを再構築"
"Results","結果"
"Search for test entry","テストエントリを検索"
"Search Results","検索結果"
"Search Timeout (seconds)","検索タイムアウト(秒)"
"Search Type","検索方法"
"Self Test","セルフテスト"
"Show Products as Autocomplete","商品をオートコンプリートで表示する"
"Showing results for '%s' instead.","'%s'で検索結果"
"Solarium Search is not enabled via System Configuration.","Solarium検索がシステム設定で有効になっていません。"
"Solarium Search","Solarium検索"
"Solr %s error, incorrect object received.","Solr %s エラー, 不正なオブジェクトです。"
"Solr %s error, status: %d, query time: %d","Solr %s エラー, ステータス: %d, クエリ実行時間: %d"
"Solr Core","Solrコア"
"Solr Index was rebuilt in %s seconds.","Solrインデックスの再構築に %s 秒かかりました。"
"Solr server version must be 3.0 or greater.","Solrバージョンは3.0以上である必要があります。"
"Solr Server","Solrサーバー"
"Solr version","Solrバージョン"
"Step %d","ステップ %d"
"String Completion","文字列補完"
"Success","成功"
"Success","成功"
"System","システム"
"Test ""Did You Mean...""","テスト ""もしかして..."""
"Test Autocomplete","オートコンプリートテスト"
"Test Connection","接続テスト"
"Test Correction of Typos","ミスタイプ補完テスト"
"Test searching via the frontend.","フロントエンドからの検索テスト。"
"Testing...","テスト中..."
"The extension JeroenVermeulen_Solarium has been installed - Setup Instructions","JeroenVermeulen_Solarium がインストールされました - インストール手順"
"unknown","不明"
"Updates to Post At Once","一度に更新する件数"
"User Name","ユーザー名"
"You can find the Installation Instructions and FAQ in [our Wiki on GitHub].","インストール手順やFAQは [私達のGitHub上のWiki] でご覧いただけます。"
